	SNP	Chromosome	Position	trait1	symbol
1	ENSG00000180628	10	92979907	5.80794147273794e-29	PCGF5
2	ENSG00000084676	2	24714782	4.99566973164097e-24	NCOA1
3	ENSG00000115289	2	74732169	9.4525028969e-23	PCGF1
4	ENSG00000169679	2	111395274	2.22417282714663e-22	BUB1
5	ENSG00000105618	19	54618836	3.75400253058112e-22	PRPF31
6	ENSG00000080503	9	2015341	3.81473778253646e-22	SMARCA2
7	ENSG00000123485	2	234745348	9.11024285548665e-21	HJURP
9	ENSG00000183207	19	49496704	1.38400114458884e-18	RUVBL2
10	ENSG00000141570	17	77765930	1.56362852173608e-18	CBX8
11	ENSG00000087586	20	54944444	2.70878852868119e-18	AURKA
12	ENSG00000077152	1	202300784	4.69518499746326e-18	UBE2T
13	ENSG00000101189	20	61427804	1.3516597764484e-16	MRGBP
14	ENSG00000131747	17	38544767	2.18884639336475e-16	TOP2A
15	ENSG00000105011	19	14230320	3.59216049729537e-16	ASF1B
16	ENSG00000139618	13	32889610	4.01729931045997e-16	BRCA2
17	ENSG00000105821	7	102952920	6.83710517278071e-16	DNAJC2
18	ENSG00000085999	1	46713359	7.27125859456767e-16	RAD54L
19	ENSG00000094804	17	38443884	8.06356156932397e-16	CDC6
20	ENSG00000114166	3	20081514	1.37086509524169e-15	KAT2B
21	ENSG00000160949	8	145654164	2.2021872324963e-15	TONSL
22	ENSG00000123737	4	122722471	2.24113717580917e-15	EXOSC9
23	ENSG00000051180	15	40986971	3.18251869684821e-15	RAD51
24	ENSG00000115241	2	27604060	4.23716088673533e-15	PPM1G
25	ENSG00000112742	6	80713603	8.54212757199456e-15	TTK
26	ENSG00000136014	12	95910335	9.4342940415316e-15	USP44
27	ENSG00000178999	17	8108055	1.05661764498665e-14	AURKB
28	ENSG00000156802	8	124332089	1.18303305650981e-14	ATAD2
29	ENSG00000106462	7	148504474	1.45622296320037e-14	EZH2
30	ENSG00000149554	11	125495035	1.53525359363074e-14	CHEK1
31	ENSG00000168078	8	27667136	1.9728037074876e-14	PBK
32	ENSG00000130816	19	10244020	3.32610698115245e-14	DNMT1
33	ENSG00000149480	11	62360685	7.58366096150807e-14	MTA2
34	ENSG00000167670	19	4402658	9.8918963601678e-14	CHAF1A
35	ENSG00000149136	11	57093458	3.86477983408392e-13	SSRP1
36	ENSG00000159259	21	37757675	4.28835951018451e-13	CHAF1B
37	ENSG00000101945	23	48553944	6.64204435879304e-13	SUV39H1
38	ENSG00000170312	10	62538088	1.05436505078214e-12	CDK1
39	ENSG00000088305	20	31350190	1.35873417410385e-12	DNMT3B
40	ENSG00000177602	17	3627210	1.81684745831147e-12	GSG2
41	ENSG00000122565	7	26240781	2.05778757943697e-12	CBX3
42	ENSG00000164885	7	150750898	2.09374603297358e-12	CDK5
43	ENSG00000100429	22	50683611	2.60728201569571e-12	HDAC10
44	ENSG00000109819	4	23756663	4.14747602145236e-12	PPARGC1A
45	ENSG00000001497	23	64732461	7.4860200675011e-12	LAS1L
46	ENSG00000134058	5	68530667	9.43613661732022e-12	CDK7
47	ENSG00000164169	4	148558935	1.07938982627625e-11	PRMT9
48	ENSG00000103495	16	29817426	1.14695166365528e-11	MAZ
49	ENSG00000119969	10	96305573	1.17312157891109e-11	HELLS
50	ENSG00000130726	19	59055457	1.26580918849643e-11	TRIM28
51	ENSG00000197275	8	95384187	1.73388817256141e-11	RAD54B
52	ENSG00000141431	18	31158578	2.58395408171031e-11	ASXL3
53	ENSG00000096717	10	69644426	2.60255223110784e-11	SIRT1
54	ENSG00000132780	1	46049517	4.73529877926927e-11	NASP
55	ENSG00000106443	7	11013498	6.07098149588183e-11	PHF14
56	ENSG00000012048	17	41196311	7.49821429956215e-11	BRCA1
57	ENSG00000101442	20	37377084	7.62895082367803e-11	ACTR5
58	ENSG00000156256	21	30396949	8.18538658940835e-11	USP16
59	ENSG00000182979	14	105886158	1.00108871551174e-10	MTA1
60	ENSG00000175792	3	127783620	1.03672313228674e-10	RUVBL1
61	ENSG00000009954	7	72854727	1.13196618641188e-10	BAZ1B
62	ENSG00000174744	11	66104803	1.17858741518059e-10	BRMS1
63	ENSG00000024048	6	42531799	1.42478128454536e-10	UBR2
64	ENSG00000074266	11	85955585	1.69458638640903e-10	EED
65	ENSG00000196363	9	137000486	1.72255672934144e-10	WDR5
66	ENSG00000163159	1	151142462	1.93876689475024e-10	VPS72
67	ENSG00000015171	10	180404	2.01935973039322e-10	ZMYND11
68	ENSG00000132646	20	5095598	3.25437625133069e-10	PCNA
69	ENSG00000167491	19	19496634	4.95283521914922e-10	GATAD2A
70	ENSG00000109906	11	113930314	5.0319244688351e-10	ZBTB16
71	ENSG00000128573	7	113726381	5.32317433769892e-10	FOXP2
72	ENSG00000198157	23	80369199	9.24675092023303e-10	HMGN5
73	ENSG00000077348	19	41892278	1.42192982325367e-09	EXOSC5
74	ENSG00000166987	12	57914492	1.65894169831255e-09	MBD6
75	ENSG00000141027	17	15932470	1.83993537886071e-09	NCOR1
76	ENSG00000235268	11	94758421	1.88465201760095e-09	KDM4E
77	ENSG00000028310	5	850405	2.05834158016708e-09	BRD9
78	ENSG00000116731	1	14026692	2.59524911494676e-09	PRDM2
79	ENSG00000173894	17	77751930	2.71002870295246e-09	CBX2
80	ENSG00000146414	6	146205942	3.13611175417875e-09	SHPRH
81	ENSG00000099381	16	30968614	3.22313580111494e-09	SETD1A
82	ENSG00000154655	18	5954704	4.97029536213895e-09	L3MBTL4
84	ENSG00000126457	19	50179042	5.95853306729008e-09	PRMT1
85	ENSG00000163939	3	52579367	7.96171752058908e-09	PBRM1
86	ENSG00000204713	6	28870778	8.111826630507e-09	TRIM27
87	ENSG00000108773	17	40265125	8.56788557941707e-09	KAT2A
88	ENSG00000106829	9	82186687	9.05768176578459e-09	TLE4
89	ENSG00000096968	9	4985085	9.11628089130436e-09	JAK2
90	ENSG00000189091	16	70557690	1.00791331026401e-08	SF3B3
91	ENSG00000119335	9	131445702	1.11506988466139e-08	SET
